Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,2629.21,2641.09,2611.14,2633.66,114130000,2633.66
2013-12-28,2625.50,2639.11,2607.92,2629.21,111030000,2629.21
2013-12-27,2637.13,2652.23,2616.58,2625.50,102900000,2625.50
2013-12-26,2621.29,2653.96,2613.37,2637.13,78730000,2637.13
2013-12-24,2633.66,2638.12,2609.65,2621.29,57200000,2621.29
2013-12-21,2629.46,2662.62,2619.55,2633.66,233400000,2633.66
2013-12-20,2626.73,2645.81,2591.58,2629.46,174700000,2629.46
2013-12-19,2626.73,2648.51,2602.48,2626.73,180380000,2626.73
2013-12-18,2593.32,2639.36,2583.17,2626.73,176460000,2626.73
2013-12-17,2593.81,2600.74,2563.61,2593.32,118560000,2593.32
2013-12-14,2614.36,2617.82,2572.03,2593.81,150880000,2593.81
2013-12-13,2622.28,2640.59,2598.76,2614.36,162110000,2614.36
2013-12-12,2586.14,2630.69,2578.22,2622.28,182270000,2622.28
2013-12-11,2596.78,2606.93,2565.59,2586.14,145330000,2586.14
2013-12-10,2590.10,2609.40,2566.58,2596.78,138650000,2596.78
2013-12-07,2602.48,2618.07,2571.78,2590.10,164950000,2590.10
2013-12-06,2610.40,2656.44,2589.36,2602.48,256380000,2602.48
2013-12-05,2579.70,2615.84,2558.42,2610.40,205820000,2610.40
2013-12-04,2565.59,2592.08,2534.65,2579.70,185820000,2579.70
2013-12-03,2559.65,2589.60,2543.56,2565.59,177010000,2565.59
2013-11-30,2518.81,2577.23,2498.51,2559.65,192350000,2559.65
2013-11-29,2535.15,2544.31,2501.23,2518.81,140920000,2518.81
2013-11-28,2543.81,2564.60,2521.04,2535.15,145490000,2535.15
2013-11-27,2533.17,2562.62,2516.09,2543.81,147590000,2543.81
2013-11-26,2527.23,2541.58,2489.85,2533.17,131540000,2533.17
2013-11-23,2539.36,2557.92,2521.04,2527.23,63350000,2527.23
2013-11-21,2530.20,2552.23,2502.72,2539.36,140660000,2539.36
2013-11-20,2565.35,2574.50,2524.01,2530.20,161170000,2530.20
2013-11-19,2550.25,2580.69,2543.07,2565.35,140950000,2565.35
2013-11-16,2545.05,2570.79,2522.28,2550.25,165440000,2550.25
2013-11-15,2559.65,2567.33,2528.71,2545.05,151370000,2545.05
2013-11-14,2535.40,2581.19,2522.77,2559.65,179310000,2559.65
2013-11-13,2540.35,2559.90,2512.38,2535.40,160240000,2535.40
2013-11-12,2490.10,2550.99,2490.10,2540.35,161390000,2540.35
2013-11-09,2443.81,2500.74,2438.61,2488.61,145160000,2488.61
2013-11-08,2440.84,2468.81,2415.84,2443.81,155570000,2443.81
2013-11-07,2485.15,2490.35,2430.94,2440.84,149130000,2440.84
2013-11-06,2502.23,2516.83,2471.53,2485.15,141130000,2485.15
2013-11-05,2490.84,2519.06,2472.77,2502.23,147510000,2502.23
2013-11-02,2454.95,2501.73,2447.28,2490.84,168700000,2490.84
2013-11-01,2442.33,2473.02,2415.59,2454.95,159270000,2454.95
2013-10-31,2448.02,2475.99,2419.55,2442.33,156060000,2442.33
2013-10-30,2430.20,2462.87,2400.50,2448.02,153450000,2448.02
2013-10-29,2436.14,2470.30,2407.67,2430.20,133980000,2430.20
2013-10-26,2482.18,2482.18,2429.21,2436.14,130190000,2436.14
2013-10-25,2504.21,2525.99,2464.11,2484.41,141460000,2484.41
2013-10-24,2494.06,2523.02,2470.54,2504.21,149290000,2504.21
2013-10-23,2516.09,2527.97,2480.20,2494.06,146300000,2494.06
2013-10-22,2520.79,2535.40,2476.73,2516.09,152650000,2516.09
2013-10-19,2453.47,2536.88,2453.47,2520.79,221480000,2520.79
2013-10-18,2391.83,2461.63,2391.83,2452.72,204110000,2452.72
2013-10-17,2381.19,2418.56,2358.17,2387.87,161260000,2387.87
2013-10-16,2416.34,2434.41,2366.83,2381.19,149570000,2381.19
2013-10-15,2398.02,2451.24,2354.95,2416.34,164980000,2416.34
2013-10-12,2365.10,2428.71,2349.75,2398.02,187940000,2398.02
2013-10-11,2407.92,2427.23,2344.31,2365.10,180060000,2365.10
2013-10-10,2445.54,2472.03,2388.36,2407.92,167890000,2407.92
2013-10-09,2514.60,2514.60,2437.87,2445.54,145610000,2445.54
2013-10-08,2510.64,2548.02,2507.18,2523.76,99470000,2523.76
2013-10-05,2516.83,2544.55,2453.47,2510.64,153380000,2510.64
2013-10-04,2489.36,2528.22,2464.85,2516.83,145410000,2516.83
